[7, 33, 37]
0 39 3.0
1 27 1.0
1 0 7.0
2 55 5.0
2 1 3.0
3 50 2.0
3 2 1.0
4 68 5.0
4 3 6.0
5 64 3.0
5 4 9.0
6 29 2.0
6 5 8.0
7 25 39.0
7 8 78.0
7 30 76.0
7 9 35.0
7 6 100.0
10 13 1.0
10 7 6.0
11 28 7.0
11 10 6.0
12 69 24.0
12 11 3.0
14 41 15.0
14 18 59.0
14 12 37.0
15 70 1.0
15 14 6.0
16 74 15.0
16 15 2.0
17 38 10.0
17 16 26.0
19 72 14.0
19 17 18.0
20 65 15.0
20 19 17.0
21 66 3.0
21 20 6.0
22 23 19.0
22 21 1.0
24 43 19.0
24 26 44.0
24 22 8.0
31 32 9.0
31 24 36.0
33 34 17.0
33 35 65.0
33 67 26.0
33 57 56.0
33 31 90.0
36 37 35.0
37 40 39.0
37 41 75.0
37 71 100.0
42 73 5.0
42 33 55.0
44 75 53.0
44 42 2.0
45 46 12.0
45 44 3.0
47 56 2.0
47 45 2.0
48 52 4.0
48 47 9.0
49 51 26.0
49 48 5.0
51 53 12.0
54 58 1.0
54 49 1.0
59 75 7.0
60 75 56.0
60 61 18.0
62 63 21.0
62 76 33.0
62 54 24.0
77 78 9.0
77 62 9.0
79 77 18.0
