[2, 49, 14]
0 50 10.0
1 23 19.0
1 0 2.0
2 16 7.0
2 51 36.0
2 8 49.0
2 3 74.0
2 1 35.0
4 11 1.0
4 2 91.0
5 60 4.0
5 4 2.0
6 42 1.0
6 5 1.0
7 74 12.0
7 6 10.0
9 66 2.0
9 7 15.0
10 67 1.0
10 9 7.0
12 59 64.0
12 10 5.0
59 62 13.0
13 25 3.0
13 12 3.0
14 77 82.0
14 35 62.0
14 70 87.0
14 33 55.0
14 13 14.0
15 17 3.0
15 14 49.0
18 19 4.0
18 15 19.0
20 63 2.0
20 18 19.0
21 32 1.0
21 20 14.0
22 56 5.0
24 26 9.0
24 21 8.0
27 28 34.0
27 29 47.0
27 24 27.0
30 54 2.0
30 27 37.0
31 37 4.0
31 30 4.0
34 36 1.0
34 31 2.0
38 61 3.0
38 34 1.0
39 71 20.0
39 38 1.0
40 41 1.0
40 39 1.0
43 44 25.0
44 46 1.0
46 52 49.0
46 53 62.0
45 68 41.0
45 40 4.0
68 69 1.0
47 48 7.0
47 45 5.0
49 53 99.0
49 55 57.0
49 56 25.0
49 57 62.0
55 58 76.0
55 59 74.0
64 65 14.0
64 47 9.0
72 73 38.0
72 75 36.0
72 64 7.0
76 77 33.0
78 79 4.0
78 72 7.0
