[55, 74, 77]
0 73 33.0
1 22 18.0
1 0 1.0
2 45 19.0
2 16 30.0
2 1 21.0
3 55 85.0
3 2 44.0
55 56 42.0
55 58 40.0
55 60 10.0
4 14 2.0
4 3 12.0
5 73 31.0
6 59 37.0
6 75 2.0
6 4 39.0
7 33 43.0
7 6 21.0
33 47 38.0
8 18 26.0
8 29 5.0
8 7 3.0
9 76 17.0
9 8 33.0
10 19 17.0
10 9 2.0
11 71 9.0
11 10 13.0
12 46 5.0
12 11 6.0
46 48 1.0
13 15 58.0
13 17 76.0
13 30 18.0
13 12 2.0
15 66 23.0
20 21 15.0
20 13 77.0
23 24 18.0
23 67 16.0
23 20 3.0
24 25 22.0
26 77 77.0
26 23 16.0
77 79 55.0
27 78 54.0
27 31 34.0
27 32 31.0
28 68 2.0
28 26 3.0
34 74 28.0
74 77 62.0
74 78 89.0
35 57 16.0
35 28 28.0
36 37 47.0
36 64 18.0
36 35 6.0
38 39 60.0
38 36 15.0
39 40 27.0
41 42 4.0
41 38 9.0
43 44 18.0
43 41 8.0
48 49 19.0
50 51 24.0
50 43 9.0
52 64 35.0
53 54 3.0
53 50 16.0
61 62 30.0
61 63 50.0
61 65 78.0
61 53 12.0
69 72 20.0
69 61 68.0
70 74 80.0
