[21, 47, 68]
0 61 25.0
1 47 79.0
1 0 21.0
47 72 22.0
47 55 76.0
47 66 95.0
2 39 1.0
2 1 11.0
3 54 28.0
3 2 26.0
4 49 7.0
4 3 18.0
5 6 8.0
5 4 8.0
6 76 57.0
6 11 21.0
7 12 44.0
7 77 20.0
7 5 18.0
12 34 15.0
8 59 7.0
8 7 9.0
9 17 2.0
9 8 18.0
10 43 17.0
10 9 4.0
13 56 24.0
13 10 25.0
14 31 22.0
14 13 22.0
15 19 1.0
15 14 3.0
16 18 22.0
16 15 6.0
18 38 35.0
20 64 13.0
20 16 4.0
21 62 12.0
21 22 74.0
21 40 59.0
21 33 29.0
21 20 92.0
22 23 12.0
33 35 39.0
24 41 1.0
24 21 29.0
25 42 9.0
25 24 1.0
26 63 4.0
26 25 1.0
27 78 3.0
27 26 19.0
28 70 18.0
28 27 28.0
29 65 1.0
29 28 4.0
30 31 38.0
30 58 62.0
30 32 57.0
35 44 7.0
36 37 25.0
36 29 27.0
45 68 78.0
45 36 3.0
68 69 28.0
68 71 51.0
46 66 16.0
48 57 6.0
48 45 13.0
50 67 20.0
67 68 84.0
51 52 23.0
51 48 21.0
53 60 6.0
53 51 3.0
73 74 4.0
73 53 18.0
75 76 26.0
79 73 18.0
