[70, 29, 42]
0 11 23.0
1 66 40.0
1 0 7.0
2 75 34.0
2 20 18.0
2 1 5.0
3 49 7.0
3 2 15.0
4 56 27.0
4 3 1.0
5 55 26.0
5 4 20.0
6 50 34.0
6 43 7.0
6 5 2.0
7 56 38.0
7 29 94.0
29 69 47.0
29 77 9.0
29 30 88.0
8 31 39.0
31 32 34.0
9 10 73.0
9 73 38.0
9 6 25.0
10 12 26.0
10 48 76.0
13 14 1.0
13 63 34.0
13 9 5.0
15 74 25.0
15 40 40.0
16 64 58.0
16 17 49.0
16 13 31.0
18 65 37.0
18 76 24.0
18 16 19.0
19 21 33.0
19 18 9.0
21 61 7.0
22 65 15.0
22 23 38.0
22 41 69.0
23 72 39.0
24 67 10.0
24 25 1.0
24 19 48.0
26 66 40.0
27 28 8.0
27 68 2.0
27 24 43.0
77 78 51.0
32 40 4.0
33 58 3.0
33 27 8.0
34 70 42.0
70 71 41.0
35 74 58.0
36 37 30.0
36 50 41.0
37 38 25.0
37 39 14.0
39 70 52.0
42 44 69.0
42 45 72.0
42 74 43.0
42 77 83.0
45 46 14.0
47 51 19.0
47 33 14.0
52 53 10.0
52 47 28.0
54 55 26.0
57 59 5.0
57 52 7.0
60 62 13.0
60 70 57.0
78 79 53.0
