[26, 7, 14]
0 3 27.0
0 53 11.0
0 50 40.0
50 56 39.0
1 65 4.0
1 0 26.0
2 19 2.0
2 1 3.0
4 35 7.0
4 2 7.0
5 6 1.0
5 4 23.0
7 8 32.0
7 36 77.0
7 66 86.0
7 67 42.0
7 5 82.0
36 37 6.0
9 64 65.0
9 7 16.0
10 51 6.0
10 9 28.0
11 38 10.0
11 39 39.0
11 10 40.0
12 70 31.0
12 45 27.0
12 11 25.0
13 54 11.0
13 12 19.0
14 16 10.0
14 15 92.0
14 46 89.0
14 17 70.0
14 13 19.0
16 55 30.0
15 52 11.0
18 42 6.0
18 14 80.0
20 21 2.0
20 18 11.0
22 52 42.0
22 23 38.0
24 45 14.0
25 47 24.0
25 20 8.0
26 27 30.0
26 71 47.0
26 63 82.0
26 31 52.0
28 29 20.0
28 25 4.0
30 68 14.0
30 28 1.0
32 33 11.0
32 30 20.0
34 37 53.0
37 40 35.0
40 71 49.0
41 43 35.0
41 32 13.0
43 44 2.0
44 48 1.0
49 64 28.0
56 69 42.0
57 58 15.0
57 59 40.0
57 41 5.0
58 60 57.0
60 61 55.0
60 78 3.0
62 64 65.0
72 73 10.0
72 57 1.0
74 75 54.0
74 76 53.0
74 77 50.0
76 78 52.0
79 72 18.0
