[17, 52, 0]
0 69 52.0
0 51 49.0
0 43 94.0
0 49 19.0
1 28 2.0
1 0 33.0
2 73 38.0
2 72 19.0
2 1 31.0
3 15 19.0
3 2 41.0
4 73 43.0
5 75 20.0
5 9 10.0
5 3 24.0
9 39 23.0
9 71 53.0
6 74 53.0
6 5 14.0
7 21 19.0
7 6 5.0
8 36 20.0
8 7 7.0
10 13 1.0
10 8 4.0
11 68 15.0
11 10 8.0
12 14 11.0
12 58 81.0
12 74 9.0
16 22 3.0
16 11 16.0
17 77 87.0
17 59 67.0
17 65 40.0
17 18 24.0
17 16 34.0
18 67 27.0
18 19 51.0
20 29 3.0
20 17 63.0
23 42 4.0
23 20 13.0
24 25 19.0
24 23 1.0
26 27 10.0
26 24 9.0
27 37 13.0
30 31 8.0
30 32 54.0
30 26 19.0
32 33 23.0
32 34 17.0
35 40 4.0
35 30 22.0
38 41 13.0
38 42 4.0
41 44 17.0
45 54 21.0
45 35 4.0
54 55 33.0
46 78 12.0
46 45 1.0
78 79 26.0
47 48 27.0
48 49 16.0
50 52 37.0
52 60 24.0
52 74 71.0
52 53 2.0
56 57 1.0
56 46 3.0
61 62 43.0
61 63 17.0
61 56 17.0
63 76 26.0
63 64 70.0
64 66 33.0
70 77 26.0
