[4, 9, 18]
0 58 10.0
0 46 31.0
1 16 46.0
1 0 30.0
16 45 61.0
2 16 67.0
3 75 5.0
3 1 12.0
4 5 59.0
4 6 39.0
4 7 86.0
4 32 18.0
4 3 30.0
5 6 18.0
5 8 62.0
8 53 31.0
9 30 2.0
9 10 86.0
9 51 59.0
9 36 67.0
9 4 13.0
10 78 57.0
78 79 53.0
11 40 50.0
11 42 68.0
11 9 80.0
12 34 18.0
12 11 29.0
13 58 40.0
14 59 16.0
14 52 3.0
14 12 10.0
52 71 21.0
15 24 30.0
15 48 6.0
15 14 21.0
17 37 15.0
17 15 24.0
37 56 49.0
18 54 16.0
18 69 67.0
18 66 15.0
18 19 2.0
18 17 55.0
19 20 25.0
21 64 6.0
21 18 68.0
22 66 44.0
23 74 45.0
23 25 20.0
74 75 17.0
26 27 42.0
27 28 49.0
28 54 3.0
29 49 22.0
29 21 2.0
31 70 18.0
31 55 7.0
70 71 26.0
33 35 40.0
33 50 52.0
33 36 21.0
56 73 18.0
38 41 67.0
41 42 15.0
39 40 43.0
39 41 64.0
39 42 4.0
43 59 39.0
44 65 25.0
44 68 55.0
44 29 48.0
47 52 42.0
57 60 4.0
57 61 5.0
57 44 34.0
61 62 5.0
63 67 18.0
67 68 4.0
72 73 25.0
76 77 2.0
76 57 16.0
