[26, 75, 2]
0 27 18.0
27 50 20.0
1 36 1.0
1 0 1.0
2 78 31.0
2 21 67.0
2 29 89.0
2 8 11.0
2 1 18.0
29 31 2.0
3 43 34.0
3 40 15.0
3 2 10.0
4 62 35.0
4 59 7.0
4 3 35.0
5 53 18.0
5 4 38.0
6 37 35.0
6 77 43.0
6 5 43.0
7 46 13.0
7 30 34.0
7 6 46.0
9 60 27.0
9 33 33.0
9 7 40.0
60 63 36.0
10 61 27.0
10 9 18.0
11 43 37.0
12 13 5.0
12 10 19.0
14 38 18.0
14 12 17.0
15 22 18.0
15 74 12.0
15 14 47.0
16 26 78.0
26 32 54.0
26 27 93.0
17 65 11.0
17 15 14.0
18 57 2.0
18 17 13.0
19 20 80.0
19 18 11.0
20 44 28.0
20 67 56.0
23 63 18.0
24 64 25.0
24 19 11.0
25 26 96.0
25 75 17.0
75 79 52.0
32 52 28.0
50 51 8.0
28 39 17.0
28 24 1.0
34 37 35.0
35 41 9.0
35 66 2.0
35 28 32.0
42 54 23.0
42 45 56.0
42 35 19.0
45 47 41.0
47 48 49.0
47 49 32.0
48 69 28.0
69 70 27.0
55 68 20.0
55 42 35.0
56 58 27.0
56 55 5.0
71 72 3.0
71 56 7.0
73 76 2.0
73 71 6.0
