[20, 64, 75]
0 20 66.0
20 21 92.0
20 41 78.0
1 60 2.0
1 0 15.0
2 34 1.0
2 3 31.0
2 1 25.0
4 67 45.0
4 40 46.0
4 2 1.0
40 42 51.0
5 45 29.0
5 4 17.0
6 61 38.0
6 36 9.0
6 5 28.0
7 46 42.0
7 38 21.0
7 6 1.0
8 9 11.0
8 7 6.0
10 12 10.0
10 8 1.0
12 43 24.0
11 22 31.0
11 10 9.0
22 73 5.0
43 44 23.0
13 49 17.0
13 11 29.0
14 68 12.0
14 13 1.0
15 20 41.0
15 65 9.0
16 75 69.0
75 76 65.0
17 62 37.0
17 47 55.0
17 14 8.0
18 47 56.0
19 75 46.0
23 50 2.0
24 44 23.0
25 68 14.0
25 50 38.0
26 69 25.0
26 37 6.0
27 28 70.0
27 62 48.0
27 48 23.0
29 30 16.0
29 17 1.0
31 55 7.0
31 29 25.0
32 51 58.0
32 33 48.0
32 31 6.0
35 36 48.0
35 37 66.0
35 52 67.0
39 52 5.0
53 54 5.0
53 56 31.0
53 32 27.0
57 58 7.0
58 59 39.0
59 63 29.0
63 64 39.0
63 65 64.0
64 66 32.0
64 70 26.0
64 71 84.0
70 72 46.0
70 74 63.0
72 75 67.0
72 76 37.0
77 78 4.0
77 53 48.0
79 77 32.0
