[13, 38, 25]
0 36 15.0
1 58 6.0
1 24 35.0
1 0 16.0
2 50 18.0
2 1 9.0
3 22 15.0
3 2 19.0
22 55 42.0
4 48 6.0
4 3 26.0
5 20 23.0
5 4 5.0
6 29 1.0
6 59 36.0
6 5 39.0
7 14 9.0
7 6 14.0
8 75 12.0
8 7 10.0
75 76 64.0
9 41 33.0
9 72 33.0
9 8 28.0
10 38 70.0
10 9 4.0
38 63 2.0
38 39 88.0
38 42 64.0
11 51 28.0
12 13 10.0
13 16 8.0
13 51 38.0
13 14 47.0
15 70 7.0
15 10 1.0
17 72 26.0
18 68 23.0
18 15 23.0
19 46 33.0
19 40 6.0
19 21 69.0
19 18 66.0
46 47 27.0
55 56 22.0
23 25 28.0
23 19 30.0
25 26 78.0
25 31 84.0
25 69 69.0
27 73 4.0
27 23 2.0
28 70 66.0
28 30 46.0
28 62 56.0
32 41 13.0
33 34 1.0
33 27 5.0
34 35 38.0
34 37 45.0
43 44 52.0
43 45 38.0
43 64 18.0
43 33 27.0
49 60 9.0
49 43 45.0
52 53 79.0
52 54 11.0
52 71 8.0
54 74 45.0
57 59 28.0
57 61 31.0
57 66 30.0
65 67 6.0
65 71 14.0
65 75 29.0
77 78 30.0
77 79 71.0
77 49 16.0
