[36, 62, 10]
0 50 43.0
0 70 47.0
1 24 22.0
1 0 6.0
24 55 38.0
2 75 27.0
2 17 29.0
2 1 7.0
3 49 26.0
3 2 13.0
4 74 53.0
4 28 58.0
4 3 48.0
5 42 55.0
5 19 55.0
5 50 14.0
6 20 11.0
6 4 19.0
7 38 10.0
7 16 13.0
7 6 20.0
16 66 33.0
8 9 6.0
8 7 16.0
10 43 93.0
10 54 99.0
10 52 25.0
10 64 50.0
43 70 9.0
11 58 35.0
11 76 10.0
11 8 3.0
12 40 1.0
12 11 24.0
13 21 15.0
13 12 1.0
14 67 17.0
15 41 2.0
15 13 3.0
18 22 2.0
18 15 12.0
23 59 6.0
23 18 11.0
25 60 4.0
25 23 2.0
26 73 1.0
26 25 6.0
27 28 32.0
27 29 6.0
30 31 37.0
30 77 7.0
30 78 44.0
30 26 51.0
78 79 23.0
32 33 16.0
32 30 11.0
34 51 19.0
34 71 14.0
35 36 85.0
36 67 30.0
36 53 62.0
36 57 51.0
57 61 29.0
37 65 3.0
37 39 19.0
37 32 23.0
44 45 24.0
44 46 34.0
44 37 19.0
47 48 4.0
47 44 15.0
56 57 49.0
61 62 34.0
61 63 50.0
62 68 5.0
62 69 27.0
62 70 100.0
68 71 8.0
72 77 25.0
