[55, 44, 29]
0 52 18.0
1 67 21.0
1 0 6.0
2 15 2.0
2 1 1.0
15 16 20.0
3 55 4.0
3 2 1.0
55 57 41.0
4 54 1.0
4 3 19.0
5 18 5.0
5 4 6.0
6 71 9.0
6 46 50.0
6 5 14.0
7 22 9.0
7 6 3.0
8 34 3.0
8 7 22.0
9 44 73.0
44 45 51.0
44 46 92.0
10 39 4.0
10 8 6.0
11 23 9.0
11 10 18.0
12 55 79.0
13 35 17.0
13 11 4.0
14 41 15.0
14 13 1.0
17 36 3.0
17 14 3.0
19 47 1.0
19 17 10.0
20 21 8.0
20 19 14.0
24 62 2.0
24 20 8.0
25 56 9.0
25 24 3.0
26 27 5.0
26 25 14.0
28 35 19.0
29 38 49.0
29 68 19.0
29 69 74.0
29 42 59.0
29 26 98.0
30 31 13.0
30 29 71.0
32 33 5.0
32 73 3.0
32 30 47.0
37 74 8.0
37 32 37.0
40 41 24.0
43 44 12.0
43 58 10.0
48 49 7.0
48 37 1.0
50 51 1.0
50 48 29.0
53 55 20.0
57 59 20.0
59 60 35.0
61 63 8.0
61 50 7.0
64 65 2.0
64 61 7.0
66 70 22.0
66 72 33.0
66 75 4.0
66 64 25.0
72 76 17.0
72 77 25.0
78 79 25.0
78 66 62.0
