[22, 34, 20]
0 17 14.0
1 16 17.0
1 0 1.0
2 45 2.0
2 1 19.0
3 35 70.0
3 25 62.0
3 15 34.0
3 2 35.0
15 18 39.0
4 38 23.0
4 3 5.0
5 21 16.0
5 4 2.0
6 22 12.0
6 56 23.0
22 27 25.0
22 28 4.0
7 55 16.0
7 5 10.0
8 9 8.0
8 7 29.0
10 66 39.0
11 54 7.0
11 63 17.0
11 8 31.0
12 43 40.0
43 44 60.0
13 23 1.0
13 47 26.0
13 11 5.0
47 48 5.0
14 64 13.0
14 13 51.0
18 26 44.0
19 62 50.0
19 60 6.0
62 77 42.0
62 65 40.0
20 30 40.0
20 22 59.0
20 24 91.0
20 26 59.0
28 29 59.0
29 39 33.0
31 76 32.0
31 61 1.0
31 14 9.0
32 42 10.0
32 78 37.0
32 31 30.0
33 66 35.0
33 34 59.0
34 35 60.0
34 67 80.0
34 36 67.0
36 44 64.0
44 77 55.0
37 49 19.0
37 40 34.0
37 32 22.0
40 41 12.0
46 76 19.0
50 52 4.0
50 37 1.0
52 53 45.0
51 52 52.0
51 70 22.0
57 58 3.0
57 50 16.0
59 61 26.0
68 71 23.0
68 57 1.0
71 72 5.0
69 79 1.0
69 68 3.0
72 73 33.0
72 74 1.0
74 75 14.0
