[2, 37, 45]
0 42 25.0
1 77 4.0
1 0 13.0
2 46 8.0
2 56 34.0
2 19 26.0
2 61 40.0
2 1 94.0
3 20 12.0
3 2 5.0
4 53 35.0
4 17 29.0
4 3 6.0
5 60 46.0
5 51 32.0
5 4 1.0
6 38 2.0
6 5 33.0
7 34 40.0
7 49 40.0
7 6 19.0
8 59 28.0
9 35 37.0
35 64 15.0
10 54 11.0
10 15 69.0
10 44 53.0
10 7 22.0
15 57 53.0
15 16 70.0
11 23 11.0
11 10 40.0
12 54 52.0
12 76 46.0
13 61 55.0
14 30 70.0
14 63 59.0
14 64 30.0
16 37 64.0
37 40 18.0
37 50 17.0
18 20 4.0
21 41 9.0
21 62 18.0
21 11 3.0
22 58 26.0
22 23 9.0
24 73 27.0
24 25 56.0
24 21 20.0
25 26 31.0
27 47 50.0
27 40 43.0
28 70 16.0
28 24 9.0
29 33 11.0
29 28 6.0
31 63 28.0
32 62 29.0
36 37 72.0
36 75 35.0
36 39 25.0
43 52 7.0
43 29 21.0
45 48 72.0
45 55 54.0
45 59 32.0
45 60 57.0
48 64 12.0
48 55 64.0
65 66 30.0
65 67 1.0
65 43 36.0
67 68 1.0
68 69 25.0
69 71 38.0
72 74 42.0
72 65 10.0
74 78 25.0
79 72 8.0
