[57, 56, 47]
0 34 9.0
1 35 2.0
1 0 1.0
2 9 1.0
2 1 3.0
3 53 3.0
3 2 3.0
4 5 7.0
4 3 19.0
6 67 2.0
6 4 3.0
7 75 6.0
7 6 2.0
8 58 9.0
8 7 8.0
10 63 1.0
10 8 1.0
11 51 9.0
11 10 2.0
12 13 10.0
12 11 4.0
14 36 1.0
14 12 1.0
15 70 8.0
15 14 1.0
16 56 69.0
16 15 4.0
56 64 4.0
56 60 14.0
17 74 1.0
17 16 1.0
18 65 2.0
18 17 1.0
19 66 3.0
19 18 1.0
20 68 3.0
20 19 1.0
21 28 1.0
21 20 1.0
22 23 3.0
22 21 3.0
24 47 6.0
24 22 8.0
47 48 30.0
47 49 31.0
47 50 51.0
25 26 13.0
25 24 14.0
27 31 1.0
27 25 13.0
29 61 2.0
29 27 2.0
30 32 13.0
30 29 4.0
33 37 8.0
33 30 4.0
38 39 1.0
38 33 7.0
40 41 1.0
40 38 1.0
42 76 3.0
42 40 1.0
43 44 1.0
43 42 1.0
45 46 5.0
45 43 4.0
52 54 6.0
52 45 1.0
55 56 57.0
57 69 76.0
57 59 16.0
57 62 99.0
57 71 31.0
57 52 71.0
72 73 1.0
72 57 56.0
77 78 3.0
77 72 9.0
79 77 1.0
