[21, 49, 45]
0 63 54.0
1 47 18.0
1 0 7.0
2 3 4.0
2 1 2.0
4 69 29.0
4 45 14.0
4 2 42.0
45 46 66.0
45 49 14.0
5 71 17.0
5 4 17.0
6 19 3.0
6 5 8.0
7 48 12.0
7 6 29.0
8 40 10.0
8 7 27.0
9 31 17.0
9 8 4.0
10 37 1.0
10 9 17.0
11 17 17.0
11 10 7.0
17 18 1.0
12 70 9.0
12 11 4.0
13 14 1.0
13 12 6.0
15 49 70.0
49 50 50.0
49 61 82.0
16 25 4.0
16 13 7.0
20 21 65.0
20 16 10.0
21 78 58.0
21 39 17.0
21 22 27.0
23 74 5.0
23 20 2.0
24 26 10.0
24 27 70.0
24 23 3.0
27 28 49.0
27 73 9.0
29 30 2.0
29 24 11.0
32 53 38.0
32 29 1.0
33 41 17.0
33 32 4.0
34 79 28.0
34 71 64.0
35 36 1.0
35 38 36.0
35 33 4.0
42 77 11.0
42 43 19.0
42 75 48.0
42 35 69.0
44 45 15.0
51 52 1.0
52 53 47.0
54 55 7.0
54 42 53.0
56 76 39.0
56 54 3.0
57 58 6.0
57 56 4.0
59 60 21.0
59 57 2.0
62 63 4.0
62 64 10.0
62 65 48.0
64 66 10.0
66 67 22.0
68 71 21.0
72 76 5.0
