[72, 70, 66]
0 12 1.0
1 13 1.0
1 0 9.0
2 29 11.0
2 1 20.0
3 37 19.0
3 28 1.0
3 2 1.0
4 61 21.0
4 3 20.0
5 73 14.0
5 4 1.0
6 7 28.0
6 5 2.0
7 11 50.0
8 25 8.0
8 6 20.0
9 43 1.0
9 8 1.0
10 13 36.0
14 30 8.0
14 9 1.0
15 39 29.0
15 14 8.0
16 22 10.0
16 15 17.0
17 18 22.0
17 16 7.0
18 68 13.0
19 36 22.0
19 17 11.0
20 21 25.0
20 23 24.0
20 19 38.0
21 64 7.0
23 40 29.0
24 45 21.0
24 63 23.0
24 20 9.0
26 38 17.0
26 24 16.0
27 30 30.0
31 32 13.0
31 62 44.0
31 26 15.0
33 62 8.0
34 46 3.0
34 31 49.0
35 58 5.0
35 34 5.0
41 65 16.0
41 35 1.0
42 44 17.0
42 41 14.0
47 48 1.0
47 42 3.0
49 60 27.0
49 47 9.0
50 51 7.0
51 72 89.0
72 74 19.0
72 75 37.0
52 53 38.0
52 54 17.0
52 55 2.0
52 49 4.0
56 57 1.0
56 52 12.0
59 66 61.0
66 67 27.0
66 69 33.0
66 70 23.0
70 71 52.0
70 72 19.0
70 73 43.0
75 76 1.0
76 77 5.0
76 78 42.0
79 56 14.0
