[34, 58, 13]
0 31 2.0
1 24 3.0
1 0 2.0
2 51 2.0
2 1 3.0
3 38 4.0
3 2 1.0
4 42 1.0
4 3 3.0
5 21 4.0
5 4 4.0
6 50 2.0
6 5 1.0
7 68 2.0
7 6 1.0
8 9 3.0
8 7 3.0
10 55 3.0
10 8 2.0
11 46 1.0
11 10 3.0
12 14 2.0
12 11 4.0
13 37 25.0
13 15 56.0
13 40 64.0
13 17 20.0
13 12 82.0
16 52 1.0
16 13 29.0
18 76 2.0
18 16 2.0
19 20 4.0
19 18 3.0
22 67 2.0
22 19 1.0
23 56 2.0
23 22 4.0
25 26 1.0
25 23 9.0
27 39 3.0
27 25 2.0
28 75 8.0
28 27 8.0
29 30 4.0
29 28 7.0
32 65 1.0
32 29 1.0
33 70 1.0
33 32 9.0
34 66 87.0
34 53 26.0
34 44 98.0
34 54 18.0
34 33 75.0
35 53 14.0
36 41 1.0
36 34 5.0
43 69 1.0
43 36 1.0
45 57 13.0
45 43 1.0
47 48 2.0
47 45 2.0
49 77 6.0
49 47 2.0
58 78 95.0
58 71 28.0
58 59 93.0
58 60 23.0
58 49 56.0
61 79 1.0
61 58 42.0
62 63 1.0
62 61 2.0
64 72 9.0
64 62 9.0
73 74 13.0
73 64 6.0
