[54, 58, 23]
0 52 7.0
1 27 18.0
1 0 15.0
2 39 21.0
2 35 1.0
2 37 33.0
2 1 9.0
35 59 19.0
3 62 4.0
3 2 49.0
4 55 1.0
4 3 1.0
5 64 12.0
5 4 3.0
6 7 69.0
6 5 3.0
7 65 37.0
7 71 32.0
8 23 94.0
8 54 31.0
8 6 46.0
23 24 44.0
23 66 45.0
23 76 66.0
54 79 18.0
9 60 12.0
9 8 15.0
10 53 18.0
10 9 8.0
11 38 58.0
38 57 49.0
38 54 23.0
12 67 65.0
12 46 40.0
12 16 66.0
12 10 19.0
13 14 13.0
13 20 19.0
13 12 20.0
14 75 29.0
15 26 8.0
15 13 17.0
17 18 1.0
17 15 19.0
19 61 11.0
19 17 25.0
21 41 32.0
21 65 55.0
22 61 17.0
25 28 15.0
25 29 51.0
29 58 96.0
58 67 51.0
58 68 35.0
30 31 18.0
30 36 2.0
30 19 34.0
32 63 14.0
32 43 38.0
32 33 46.0
32 30 25.0
43 44 37.0
34 77 21.0
34 32 37.0
40 78 9.0
40 34 2.0
42 44 25.0
45 67 17.0
47 56 26.0
56 58 58.0
48 49 3.0
48 40 1.0
50 56 45.0
51 54 38.0
69 70 8.0
69 72 10.0
69 48 27.0
73 74 32.0
73 69 17.0
