[53, 78, 39]
0 53 29.0
53 55 25.0
1 7 3.0
1 68 2.0
1 0 36.0
68 69 42.0
2 46 10.0
2 12 54.0
2 1 54.0
3 61 19.0
3 2 32.0
4 14 7.0
4 8 17.0
4 3 34.0
5 53 26.0
6 16 26.0
6 4 38.0
9 38 28.0
9 6 10.0
38 51 22.0
10 44 24.0
10 9 15.0
11 13 1.0
11 10 4.0
15 50 3.0
15 11 1.0
17 27 28.0
17 60 38.0
17 15 20.0
18 29 25.0
18 17 8.0
29 54 23.0
19 65 6.0
19 18 26.0
20 40 1.0
20 19 5.0
21 22 13.0
21 20 5.0
23 24 3.0
23 63 2.0
23 21 17.0
25 64 58.0
25 26 30.0
25 23 6.0
28 44 19.0
30 31 11.0
30 32 48.0
30 25 10.0
31 32 28.0
33 34 16.0
33 35 78.0
33 52 72.0
33 30 5.0
35 36 56.0
37 53 16.0
37 78 4.0
78 79 11.0
39 57 61.0
39 41 72.0
39 62 46.0
39 70 11.0
39 33 47.0
57 58 25.0
70 71 57.0
70 72 19.0
42 43 20.0
42 39 97.0
45 75 6.0
45 42 15.0
47 66 44.0
47 67 38.0
67 68 41.0
48 49 28.0
49 51 2.0
55 56 3.0
59 62 8.0
73 74 3.0
73 45 2.0
76 77 4.0
76 73 7.0
