[55, 31, 27]
0 15 10.0
0 77 34.0
1 31 86.0
1 51 6.0
1 0 12.0
31 32 19.0
31 55 99.0
2 32 12.0
3 7 20.0
3 13 19.0
3 60 1.0
3 1 1.0
4 14 66.0
4 49 78.0
14 33 21.0
14 75 64.0
49 51 33.0
5 27 64.0
5 69 6.0
27 63 63.0
27 28 87.0
27 30 80.0
69 70 40.0
6 54 9.0
6 3 56.0
8 35 6.0
8 6 4.0
9 10 4.0
9 8 5.0
10 22 17.0
22 34 24.0
22 26 42.0
11 40 23.0
11 9 8.0
12 29 1.0
12 11 5.0
16 18 13.0
16 12 19.0
17 19 23.0
17 20 56.0
17 16 34.0
20 44 37.0
20 21 44.0
23 71 24.0
23 64 42.0
23 24 64.0
25 77 43.0
63 64 11.0
30 31 71.0
55 58 100.0
55 61 59.0
36 71 23.0
37 72 44.0
37 47 25.0
37 17 20.0
38 68 1.0
38 37 15.0
39 59 19.0
39 40 28.0
41 65 7.0
41 38 4.0
42 57 9.0
42 43 29.0
42 41 26.0
43 45 1.0
45 46 22.0
48 49 5.0
48 50 20.0
52 53 1.0
52 55 47.0
52 56 59.0
53 69 20.0
61 62 38.0
66 67 12.0
66 42 2.0
73 74 33.0
73 76 31.0
73 66 1.0
76 78 2.0
79 73 30.0
