[55, 31, 53]
0 27 14.0
0 58 6.0
1 45 29.0
1 0 13.0
2 28 8.0
2 65 11.0
2 1 33.0
3 9 2.0
3 2 11.0
4 20 19.0
4 3 7.0
20 42 34.0
5 51 3.0
5 4 6.0
6 7 4.0
6 5 2.0
8 37 18.0
8 6 1.0
10 55 88.0
10 8 2.0
55 56 14.0
55 63 15.0
11 72 3.0
11 10 1.0
12 69 14.0
12 39 37.0
12 11 16.0
13 14 15.0
13 12 15.0
14 15 31.0
16 57 19.0
16 29 37.0
16 13 17.0
17 18 45.0
17 19 16.0
17 16 60.0
21 78 3.0
21 17 39.0
22 47 10.0
22 21 29.0
23 60 21.0
23 22 6.0
24 25 69.0
24 40 13.0
24 26 48.0
24 23 11.0
30 64 3.0
30 24 25.0
31 49 36.0
31 66 13.0
31 32 38.0
31 73 18.0
31 30 44.0
32 33 23.0
34 38 5.0
34 31 28.0
35 36 60.0
35 39 46.0
36 41 8.0
36 71 9.0
41 43 26.0
43 44 24.0
46 48 1.0
46 34 3.0
50 52 52.0
50 53 1.0
53 54 77.0
53 61 73.0
53 55 58.0
59 62 8.0
59 46 7.0
67 68 80.0
67 70 1.0
68 70 71.0
68 71 18.0
74 75 20.0
74 76 36.0
74 77 34.0
74 59 53.0
79 74 14.0
