[39, 26, 46]
0 47 1.0
1 55 11.0
1 7 19.0
1 36 13.0
1 0 22.0
7 56 45.0
2 74 49.0
2 1 1.0
3 5 52.0
3 65 12.0
3 45 18.0
4 73 12.0
4 2 5.0
6 48 2.0
6 4 1.0
8 61 11.0
8 27 24.0
8 9 45.0
9 26 92.0
9 25 43.0
26 55 73.0
26 67 81.0
26 28 19.0
10 23 27.0
10 11 41.0
10 12 59.0
10 6 29.0
12 16 22.0
13 66 21.0
13 49 67.0
13 58 29.0
13 10 81.0
14 23 13.0
14 15 26.0
15 17 16.0
18 59 30.0
59 62 33.0
19 20 38.0
20 74 18.0
21 54 23.0
21 45 60.0
21 22 72.0
24 51 32.0
24 54 30.0
29 30 7.0
29 13 51.0
30 34 44.0
31 36 11.0
32 35 2.0
32 29 1.0
35 75 59.0
35 37 55.0
33 68 6.0
33 32 17.0
38 46 33.0
46 51 99.0
46 52 57.0
39 40 50.0
39 50 58.0
39 41 28.0
39 78 5.0
39 33 52.0
41 76 27.0
78 79 51.0
42 69 30.0
42 43 40.0
42 39 28.0
43 70 53.0
44 46 29.0
52 53 36.0
53 55 43.0
57 59 68.0
57 60 56.0
57 61 8.0
62 63 6.0
64 70 31.0
71 72 39.0
71 42 34.0
72 77 20.0
