[28, 7, 63]
0 39 1.0
0 38 11.0
38 40 36.0
1 70 15.0
1 0 28.0
2 4 10.0
2 1 10.0
3 71 5.0
3 2 4.0
5 37 67.0
5 3 4.0
6 66 6.0
6 5 2.0
7 76 98.0
7 33 18.0
7 8 11.0
7 23 15.0
7 6 71.0
23 54 30.0
9 53 5.0
9 7 85.0
10 14 2.0
10 9 3.0
11 37 20.0
11 15 35.0
12 32 17.0
12 10 10.0
13 42 18.0
13 12 14.0
16 20 7.0
16 13 10.0
17 75 31.0
17 77 21.0
17 16 27.0
18 61 15.0
18 17 36.0
61 62 34.0
19 21 28.0
19 18 22.0
22 35 61.0
35 36 36.0
35 37 66.0
24 58 29.0
24 19 15.0
25 32 15.0
26 43 34.0
26 60 29.0
26 24 20.0
27 59 14.0
27 28 26.0
27 26 3.0
28 29 41.0
28 30 84.0
28 55 7.0
30 31 4.0
34 44 7.0
34 27 34.0
41 45 30.0
41 34 5.0
45 78 8.0
46 56 7.0
46 41 17.0
47 48 24.0
47 46 9.0
49 57 19.0
49 47 1.0
50 51 2.0
50 49 4.0
52 61 14.0
62 63 43.0
63 64 33.0
63 65 63.0
63 67 87.0
64 67 29.0
68 78 14.0
69 72 22.0
69 79 3.0
69 50 18.0
73 74 37.0
73 69 15.0
