[8, 60, 7]
0 58 6.0
0 70 55.0
58 61 18.0
70 73 29.0
1 22 20.0
1 0 20.0
2 33 3.0
2 1 17.0
3 41 7.0
3 2 1.0
4 76 15.0
4 3 18.0
5 34 51.0
5 42 51.0
5 4 4.0
6 16 4.0
6 5 45.0
7 47 68.0
7 74 61.0
7 17 45.0
7 8 35.0
7 6 65.0
8 75 9.0
8 35 61.0
8 64 98.0
9 48 28.0
9 7 13.0
10 69 3.0
10 9 6.0
11 22 20.0
12 25 36.0
12 10 9.0
25 26 12.0
13 18 24.0
13 14 32.0
13 12 41.0
15 30 10.0
15 13 3.0
19 36 38.0
19 40 33.0
19 15 44.0
20 21 19.0
20 19 7.0
23 46 13.0
23 20 15.0
24 60 87.0
24 49 24.0
60 63 25.0
60 64 36.0
27 31 10.0
27 23 4.0
28 29 1.0
28 27 10.0
32 36 29.0
32 50 17.0
37 38 26.0
37 28 2.0
39 45 19.0
39 51 29.0
39 37 35.0
45 53 27.0
43 62 2.0
43 39 14.0
44 52 6.0
44 43 7.0
54 71 16.0
54 44 1.0
55 57 11.0
55 54 13.0
56 57 38.0
59 60 65.0
65 66 1.0
65 55 7.0
66 67 24.0
68 70 1.0
68 72 4.0
77 78 7.0
77 65 8.0
79 77 9.0
