[1, 4, 56]
0 32 19.0
1 33 16.0
1 21 98.0
1 55 53.0
1 25 39.0
1 0 63.0
21 67 35.0
25 26 31.0
2 57 15.0
2 1 94.0
3 52 23.0
3 2 11.0
4 19 79.0
4 38 58.0
4 63 81.0
4 70 98.0
4 3 28.0
5 73 2.0
5 4 76.0
6 53 2.0
6 5 1.0
7 39 29.0
7 6 30.0
8 9 21.0
9 33 34.0
10 11 18.0
10 7 20.0
12 76 19.0
12 22 22.0
12 66 31.0
22 39 12.0
13 56 85.0
13 77 31.0
13 10 10.0
56 61 86.0
56 64 52.0
14 46 12.0
14 13 11.0
15 58 7.0
15 14 6.0
16 17 27.0
16 15 6.0
18 71 8.0
18 47 10.0
18 16 26.0
20 74 5.0
20 18 34.0
23 65 16.0
23 35 7.0
23 20 27.0
24 62 27.0
24 23 14.0
27 59 2.0
27 24 1.0
28 72 15.0
28 60 27.0
28 27 18.0
29 34 12.0
29 28 17.0
30 31 30.0
30 69 33.0
30 29 3.0
36 51 1.0
36 30 10.0
37 42 3.0
37 77 22.0
40 75 51.0
40 36 16.0
75 79 33.0
41 43 6.0
41 40 9.0
44 67 6.0
45 78 1.0
45 41 1.0
48 49 9.0
48 45 3.0
50 54 11.0
50 61 36.0
54 56 29.0
68 75 60.0
