[8, 16, 4]
0 61 11.0
0 60 35.0
1 18 2.0
1 0 35.0
2 11 1.0
2 1 3.0
3 37 18.0
3 2 2.0
4 8 26.0
4 5 1.0
4 62 70.0
4 9 42.0
4 3 40.0
8 14 32.0
8 10 25.0
8 57 89.0
6 7 3.0
6 4 29.0
12 67 10.0
12 6 4.0
13 15 8.0
13 12 8.0
16 17 63.0
16 69 80.0
16 33 79.0
16 66 60.0
16 13 33.0
19 31 3.0
19 16 18.0
20 21 2.0
20 19 3.0
22 29 1.0
22 20 4.0
23 63 3.0
23 22 4.0
24 77 4.0
24 23 4.0
25 51 6.0
25 24 9.0
26 56 4.0
26 25 7.0
27 28 3.0
27 26 4.0
30 32 39.0
30 27 2.0
32 34 20.0
35 64 7.0
35 30 2.0
36 38 1.0
36 35 9.0
39 68 10.0
39 36 4.0
40 41 2.0
40 39 1.0
42 43 4.0
42 40 3.0
44 45 34.0
44 42 3.0
45 65 12.0
46 47 3.0
46 44 4.0
48 49 4.0
48 46 3.0
50 52 1.0
50 48 1.0
53 54 1.0
53 50 1.0
55 58 2.0
55 53 1.0
59 70 1.0
59 55 4.0
71 72 3.0
71 59 3.0
73 74 1.0
73 71 1.0
75 76 3.0
75 73 3.0
78 79 1.0
78 75 5.0
