[20, 24, 44]
0 25 3.0
0 14 11.0
1 33 1.0
1 0 29.0
2 77 34.0
2 46 22.0
2 1 10.0
3 36 37.0
3 2 35.0
4 60 1.0
4 3 2.0
5 21 47.0
6 73 12.0
6 4 10.0
7 20 87.0
7 65 27.0
20 21 76.0
20 22 1.0
20 23 66.0
8 9 21.0
8 16 25.0
8 78 57.0
8 6 60.0
10 34 22.0
34 72 27.0
34 36 7.0
11 43 7.0
11 8 11.0
12 39 3.0
12 11 19.0
13 35 16.0
13 12 3.0
15 40 32.0
17 66 13.0
17 13 5.0
18 30 7.0
18 17 3.0
19 71 1.0
19 18 6.0
22 38 1.0
23 40 78.0
23 24 1.0
24 41 99.0
24 67 47.0
24 25 1.0
26 53 2.0
26 19 3.0
27 42 36.0
27 44 40.0
44 45 87.0
44 46 82.0
28 74 32.0
28 26 29.0
29 57 6.0
29 28 6.0
57 58 5.0
31 78 17.0
32 52 12.0
32 29 8.0
37 44 20.0
47 48 15.0
47 74 32.0
49 76 18.0
49 32 1.0
50 63 44.0
50 54 37.0
50 49 41.0
51 55 1.0
51 50 49.0
56 61 2.0
56 79 32.0
56 51 59.0
59 62 5.0
59 56 35.0
64 68 3.0
64 59 6.0
69 70 46.0
69 75 18.0
75 76 42.0
