[21, 61, 66]
0 75 13.0
1 25 16.0
1 0 4.0
25 64 1.0
2 7 33.0
2 46 40.0
2 37 1.0
2 1 20.0
7 14 17.0
37 53 13.0
3 22 34.0
3 65 13.0
3 2 20.0
22 61 27.0
4 17 5.0
4 3 9.0
5 21 87.0
5 4 8.0
21 31 65.0
21 39 44.0
21 27 91.0
6 46 50.0
8 47 2.0
8 5 11.0
9 43 7.0
9 77 50.0
9 8 52.0
10 52 33.0
10 70 27.0
10 9 45.0
11 12 52.0
11 10 29.0
12 13 35.0
15 33 1.0
15 11 6.0
33 76 71.0
33 34 33.0
16 59 1.0
16 15 1.0
18 23 1.0
18 16 20.0
19 20 17.0
19 74 28.0
19 18 21.0
20 54 20.0
61 62 90.0
24 55 1.0
24 19 44.0
26 28 15.0
26 78 1.0
26 24 38.0
78 79 43.0
29 30 27.0
29 69 12.0
30 31 29.0
30 58 60.0
32 71 38.0
35 60 3.0
35 26 9.0
36 61 82.0
36 63 11.0
38 40 4.0
38 35 1.0
41 48 2.0
41 38 1.0
42 67 57.0
42 44 49.0
45 49 30.0
45 64 1.0
50 61 4.0
51 56 37.0
51 57 9.0
51 41 9.0
62 66 98.0
62 67 78.0
66 73 85.0
66 67 49.0
66 68 63.0
68 71 15.0
72 74 18.0
