[10, 50, 32]
0 37 12.0
1 44 13.0
1 0 9.0
2 31 1.0
2 1 18.0
3 75 16.0
3 2 18.0
4 40 12.0
4 3 15.0
5 41 11.0
5 4 3.0
6 7 12.0
6 5 27.0
8 53 7.0
8 6 17.0
9 47 9.0
9 8 6.0
10 24 2.0
10 60 62.0
10 11 79.0
10 19 27.0
10 9 57.0
24 64 14.0
12 54 4.0
12 10 92.0
13 34 6.0
13 12 13.0
14 65 26.0
14 13 2.0
15 16 13.0
15 14 26.0
17 20 2.0
17 15 16.0
18 43 1.0
18 17 3.0
21 68 3.0
21 18 8.0
22 25 17.0
22 21 3.0
23 49 3.0
23 22 6.0
26 66 3.0
26 23 4.0
27 28 29.0
27 26 13.0
28 32 21.0
32 38 12.0
32 62 35.0
32 33 1.0
29 30 1.0
29 27 26.0
35 57 6.0
35 29 6.0
36 39 29.0
36 62 50.0
42 45 3.0
42 35 4.0
46 61 6.0
46 42 6.0
48 50 85.0
48 46 8.0
50 56 12.0
50 51 67.0
50 58 13.0
52 67 22.0
52 55 11.0
52 48 36.0
59 63 9.0
59 52 28.0
69 70 49.0
69 71 13.0
69 59 45.0
72 73 3.0
72 69 34.0
74 75 14.0
76 77 33.0
76 72 1.0
77 78 26.0
79 76 2.0
