[52, 30, 10]
0 42 16.0
1 6 30.0
1 0 3.0
6 45 27.0
2 18 1.0
2 1 3.0
3 66 7.0
3 2 4.0
4 74 43.0
4 21 57.0
4 3 1.0
5 44 26.0
5 4 58.0
44 70 12.0
7 72 14.0
7 5 9.0
8 73 42.0
8 29 1.0
8 7 10.0
9 46 2.0
9 8 7.0
10 50 66.0
10 27 25.0
10 42 55.0
10 37 100.0
11 33 6.0
11 9 20.0
12 58 31.0
12 11 1.0
13 16 7.0
13 14 37.0
13 12 12.0
16 34 53.0
16 54 5.0
15 20 51.0
15 13 13.0
20 71 17.0
17 56 8.0
17 15 9.0
19 27 47.0
22 57 12.0
22 17 7.0
23 24 5.0
23 52 6.0
23 22 42.0
52 53 19.0
52 59 85.0
25 35 11.0
25 45 14.0
35 36 19.0
26 28 43.0
26 30 38.0
26 23 10.0
30 65 18.0
30 31 86.0
30 32 27.0
36 38 13.0
39 68 66.0
40 55 9.0
40 43 5.0
40 26 43.0
41 68 2.0
41 58 36.0
47 48 13.0
47 40 4.0
49 50 35.0
51 52 91.0
53 60 57.0
53 61 48.0
62 77 12.0
62 47 12.0
63 64 6.0
63 62 17.0
67 68 38.0
69 75 1.0
69 63 9.0
76 78 51.0
76 69 1.0
78 79 14.0
