[44, 21, 1]
0 71 39.0
0 11 30.0
1 49 62.0
1 72 27.0
1 34 32.0
1 35 4.0
1 0 13.0
2 3 7.0
2 1 12.0
4 77 20.0
4 2 2.0
5 73 1.0
5 4 8.0
6 27 25.0
6 5 9.0
7 30 8.0
7 6 4.0
8 12 16.0
8 7 3.0
9 10 48.0
9 8 7.0
10 13 8.0
14 54 11.0
14 9 5.0
15 16 1.0
15 14 3.0
17 69 45.0
17 15 1.0
69 70 56.0
18 36 7.0
18 17 4.0
19 31 2.0
19 18 2.0
20 28 6.0
20 19 6.0
21 32 9.0
21 67 37.0
21 22 64.0
21 66 79.0
21 20 33.0
23 62 23.0
23 38 39.0
23 21 83.0
24 25 7.0
24 23 14.0
26 44 5.0
26 24 9.0
44 57 94.0
44 58 98.0
29 63 1.0
29 26 14.0
33 37 7.0
33 29 3.0
39 40 1.0
39 33 2.0
41 42 2.0
41 39 10.0
43 44 82.0
45 50 4.0
45 41 8.0
46 51 10.0
46 45 6.0
47 53 1.0
48 52 2.0
48 53 5.0
48 58 22.0
52 55 18.0
52 56 74.0
55 74 6.0
55 56 56.0
59 60 24.0
59 61 28.0
59 46 17.0
64 65 1.0
64 59 7.0
68 69 39.0
75 76 27.0
76 77 33.0
78 79 4.0
78 64 15.0
