[19, 44, 23]
0 28 19.0
0 73 53.0
73 74 9.0
1 75 17.0
1 25 28.0
1 0 21.0
2 67 31.0
2 47 12.0
2 1 17.0
3 58 17.0
3 16 22.0
3 2 18.0
4 59 4.0
4 3 20.0
5 6 22.0
5 55 20.0
5 4 9.0
6 37 27.0
7 62 12.0
7 49 29.0
7 5 3.0
8 60 80.0
8 9 25.0
8 35 38.0
8 7 66.0
35 50 17.0
10 63 25.0
10 8 9.0
11 29 7.0
11 50 13.0
29 31 4.0
12 56 2.0
12 10 10.0
13 30 3.0
13 43 12.0
14 15 16.0
14 76 34.0
14 12 37.0
17 18 17.0
18 19 5.0
19 43 44.0
19 53 36.0
19 20 89.0
20 60 33.0
21 77 49.0
21 14 48.0
77 78 9.0
22 23 98.0
23 54 43.0
23 24 74.0
23 44 81.0
44 45 60.0
44 46 36.0
44 61 30.0
26 54 33.0
26 27 4.0
32 69 7.0
32 21 1.0
33 34 26.0
33 32 25.0
36 38 25.0
36 39 32.0
36 33 4.0
40 65 44.0
65 77 5.0
41 42 23.0
41 36 25.0
61 64 50.0
48 51 37.0
48 52 45.0
52 78 40.0
57 61 13.0
57 63 26.0
66 68 2.0
66 41 8.0
70 71 12.0
70 66 15.0
72 73 54.0
79 70 8.0
