[8, 69, 30]
0 7 42.0
7 78 31.0
1 26 39.0
1 0 9.0
26 27 27.0
2 10 25.0
2 57 35.0
2 1 53.0
57 58 21.0
3 21 23.0
3 2 9.0
4 65 5.0
4 3 1.0
65 66 36.0
5 48 16.0
5 4 3.0
6 47 9.0
6 5 4.0
8 31 5.0
8 22 23.0
8 15 65.0
8 52 84.0
8 6 67.0
22 35 27.0
52 53 18.0
9 34 3.0
9 8 43.0
11 26 75.0
12 70 1.0
12 9 1.0
13 32 25.0
13 59 12.0
13 12 10.0
14 49 16.0
14 13 21.0
16 17 5.0
16 14 11.0
18 69 89.0
18 16 14.0
69 71 71.0
69 72 34.0
19 61 8.0
19 18 2.0
20 22 44.0
20 23 29.0
20 33 39.0
23 24 21.0
25 77 6.0
25 19 13.0
28 67 30.0
28 29 54.0
28 25 2.0
29 46 12.0
30 58 12.0
30 36 100.0
30 37 55.0
30 76 99.0
37 79 59.0
38 39 26.0
38 28 13.0
40 41 8.0
40 38 21.0
41 42 5.0
43 50 5.0
43 40 16.0
44 45 8.0
44 43 20.0
51 71 3.0
53 54 10.0
55 56 29.0
55 44 9.0
60 62 49.0
60 63 34.0
60 55 27.0
64 65 3.0
68 69 41.0
73 74 40.0
73 75 46.0
73 60 13.0
74 75 29.0
