[41, 45, 39]
0 75 29.0
1 68 29.0
1 0 18.0
2 45 29.0
2 1 22.0
45 47 4.0
45 49 43.0
45 77 81.0
3 39 98.0
3 2 9.0
39 48 100.0
39 41 44.0
4 5 16.0
4 3 2.0
5 11 34.0
11 12 13.0
6 42 5.0
7 8 39.0
7 13 38.0
7 4 19.0
8 61 51.0
8 18 34.0
13 67 18.0
9 55 19.0
9 7 21.0
10 31 3.0
10 9 14.0
14 76 59.0
14 35 36.0
14 10 33.0
15 33 2.0
15 14 7.0
16 17 7.0
16 40 6.0
17 42 37.0
19 36 38.0
19 15 13.0
20 27 11.0
20 19 10.0
21 28 16.0
28 36 44.0
22 32 13.0
22 20 9.0
23 59 16.0
23 22 17.0
24 70 3.0
24 23 20.0
25 46 3.0
25 24 11.0
26 72 18.0
26 25 21.0
29 30 8.0
29 26 1.0
34 37 39.0
34 29 12.0
37 74 37.0
38 39 14.0
41 42 80.0
41 43 21.0
41 44 40.0
50 51 15.0
50 34 27.0
52 72 38.0
53 54 3.0
53 50 1.0
56 57 4.0
56 53 2.0
58 67 11.0
60 62 26.0
60 56 14.0
63 66 11.0
66 67 18.0
64 65 36.0
64 60 11.0
65 73 41.0
69 71 25.0
69 64 4.0
71 78 26.0
78 79 5.0
