[35, 69, 16]
0 9 1.0
1 48 2.0
1 0 17.0
2 49 10.0
2 14 71.0
2 5 36.0
2 1 53.0
3 39 21.0
3 2 50.0
4 28 18.0
4 3 12.0
6 59 69.0
6 38 80.0
6 22 6.0
6 4 40.0
7 26 30.0
7 6 73.0
26 27 23.0
8 53 39.0
8 7 5.0
10 20 9.0
10 8 9.0
11 12 5.0
11 10 4.0
13 20 20.0
15 64 2.0
15 11 16.0
16 21 85.0
16 17 46.0
16 52 8.0
16 71 35.0
21 37 34.0
52 53 14.0
18 19 7.0
18 15 10.0
23 24 39.0
23 59 30.0
25 51 11.0
25 18 19.0
29 30 28.0
29 25 2.0
31 32 14.0
31 29 26.0
33 34 29.0
33 31 27.0
34 40 33.0
35 36 13.0
35 40 3.0
35 68 17.0
35 41 85.0
42 43 2.0
42 33 11.0
43 63 28.0
44 60 16.0
44 42 3.0
45 55 9.0
45 46 17.0
45 44 11.0
46 65 5.0
47 49 3.0
50 52 10.0
54 61 44.0
54 45 42.0
56 57 16.0
56 54 16.0
58 61 70.0
58 62 16.0
58 66 5.0
62 66 2.0
67 69 50.0
67 70 36.0
67 56 4.0
69 70 11.0
69 72 35.0
69 73 16.0
70 73 63.0
74 75 27.0
74 76 22.0
74 67 10.0
75 77 33.0
77 78 21.0
77 79 70.0
