[44, 39, 77]
0 6 6.0
1 67 1.0
1 0 5.0
2 59 1.0
2 1 2.0
3 21 4.0
3 2 1.0
4 15 16.0
4 3 13.0
5 78 8.0
5 4 3.0
7 53 4.0
7 5 7.0
8 66 1.0
8 71 53.0
8 45 53.0
8 7 1.0
9 60 17.0
9 8 61.0
10 18 1.0
10 9 10.0
11 16 3.0
11 10 4.0
12 79 1.0
12 11 2.0
13 72 4.0
13 12 2.0
14 76 12.0
14 13 1.0
17 49 1.0
17 14 17.0
19 62 11.0
19 17 9.0
20 50 20.0
20 19 8.0
22 23 3.0
22 20 9.0
24 64 11.0
24 22 3.0
25 75 14.0
25 24 7.0
26 27 4.0
26 25 10.0
28 69 16.0
28 26 1.0
29 32 4.0
29 28 3.0
30 61 8.0
30 29 4.0
31 38 1.0
31 30 16.0
33 34 1.0
33 31 15.0
35 73 3.0
35 33 3.0
36 42 16.0
36 35 3.0
37 74 30.0
37 39 60.0
37 36 11.0
39 40 29.0
39 41 59.0
39 43 13.0
43 52 40.0
43 77 86.0
44 45 98.0
44 46 79.0
44 47 44.0
44 48 65.0
51 53 20.0
54 55 3.0
54 37 46.0
56 57 7.0
56 54 3.0
57 58 24.0
57 63 47.0
65 68 16.0
65 56 1.0
70 74 38.0
