[6, 53, 67]
0 34 8.0
1 29 44.0
1 24 40.0
1 0 21.0
2 75 27.0
2 53 89.0
2 1 36.0
53 76 61.0
53 54 74.0
53 55 96.0
3 42 12.0
3 2 47.0
4 6 44.0
4 68 26.0
4 3 33.0
6 68 46.0
6 8 100.0
6 7 70.0
5 23 1.0
5 4 15.0
7 17 21.0
9 22 3.0
9 5 21.0
10 51 10.0
10 30 50.0
10 9 36.0
30 31 25.0
30 66 61.0
11 37 31.0
11 18 26.0
11 10 5.0
12 24 54.0
12 70 27.0
13 69 80.0
13 21 75.0
13 25 62.0
13 11 33.0
14 49 28.0
14 77 30.0
14 13 45.0
15 26 22.0
15 72 42.0
15 14 18.0
26 45 46.0
16 71 18.0
16 15 1.0
19 74 29.0
19 16 2.0
20 52 1.0
20 19 22.0
27 28 8.0
27 20 1.0
32 43 31.0
32 78 17.0
43 44 10.0
33 35 11.0
33 27 2.0
36 38 1.0
36 33 4.0
39 48 11.0
39 36 3.0
48 50 20.0
40 41 9.0
40 39 15.0
44 46 35.0
47 78 7.0
47 73 1.0
54 73 2.0
56 76 1.0
57 58 7.0
57 40 7.0
59 60 17.0
60 61 37.0
61 75 22.0
62 63 20.0
62 57 6.0
64 67 72.0
64 65 18.0
67 76 48.0
67 79 64.0
