[48, 63, 44]
0 45 25.0
0 23 51.0
0 54 65.0
45 47 63.0
1 52 43.0
52 53 40.0
2 38 30.0
3 13 35.0
3 0 69.0
13 71 25.0
13 57 51.0
4 17 50.0
4 22 49.0
4 65 66.0
4 3 53.0
5 29 18.0
5 4 60.0
6 18 5.0
6 5 4.0
7 22 22.0
8 32 27.0
8 6 22.0
32 35 1.0
9 60 43.0
9 76 3.0
10 34 23.0
10 62 25.0
10 8 29.0
11 30 8.0
11 44 85.0
44 45 90.0
44 46 78.0
12 73 20.0
12 63 14.0
12 38 57.0
63 78 72.0
14 78 2.0
14 15 14.0
15 16 29.0
15 75 48.0
19 26 4.0
19 10 6.0
20 33 18.0
20 19 1.0
21 24 66.0
21 20 28.0
24 41 23.0
24 43 23.0
25 76 10.0
25 27 1.0
27 39 15.0
28 30 9.0
31 77 19.0
31 21 6.0
36 58 9.0
36 31 8.0
37 39 9.0
40 41 7.0
42 44 4.0
42 74 10.0
48 53 100.0
48 49 53.0
48 69 15.0
48 50 48.0
53 55 78.0
49 59 66.0
49 63 33.0
50 59 32.0
51 64 12.0
51 36 25.0
55 56 48.0
56 60 45.0
56 74 59.0
61 63 58.0
66 67 22.0
66 68 71.0
68 70 57.0
68 72 14.0
72 75 3.0
79 51 29.0
