[29, 13, 68]
0 17 3.0
1 2 6.0
1 0 26.0
3 18 11.0
3 1 24.0
4 59 15.0
4 3 3.0
5 20 7.0
5 4 3.0
6 64 3.0
6 5 2.0
7 73 18.0
7 6 15.0
8 65 1.0
8 7 19.0
9 55 2.0
9 8 8.0
10 54 6.0
10 9 18.0
11 12 1.0
11 10 1.0
13 56 40.0
13 43 26.0
13 44 23.0
13 51 44.0
13 11 14.0
14 74 9.0
14 13 42.0
15 52 9.0
15 14 9.0
16 53 4.0
16 15 3.0
19 21 20.0
19 16 1.0
22 23 2.0
22 19 10.0
24 57 1.0
24 22 10.0
25 47 7.0
25 24 16.0
26 27 19.0
26 25 4.0
28 38 7.0
28 26 4.0
29 33 32.0
29 30 7.0
29 31 79.0
29 32 79.0
29 28 72.0
34 35 9.0
34 29 86.0
36 58 18.0
36 34 2.0
37 66 5.0
37 36 1.0
39 60 4.0
39 37 7.0
40 41 10.0
40 39 19.0
42 45 4.0
42 40 9.0
46 67 4.0
46 42 1.0
48 62 29.0
48 46 1.0
49 72 1.0
49 48 8.0
50 61 4.0
50 49 7.0
63 68 59.0
63 50 1.0
68 69 92.0
68 70 39.0
68 71 59.0
75 76 2.0
75 63 9.0
77 78 2.0
77 75 4.0
79 77 2.0
