[67, 42, 32]
0 1 22.0
0 59 45.0
2 52 3.0
2 0 38.0
3 14 47.0
3 2 4.0
14 71 40.0
14 15 62.0
4 27 33.0
4 3 17.0
27 28 2.0
5 68 8.0
5 4 7.0
6 55 16.0
6 39 20.0
6 5 21.0
7 50 11.0
7 6 36.0
8 69 1.0
8 7 1.0
9 65 29.0
9 8 7.0
10 36 38.0
10 9 7.0
11 32 88.0
11 10 1.0
32 48 55.0
32 73 56.0
32 33 45.0
12 63 1.0
12 11 20.0
13 76 13.0
13 12 11.0
16 55 38.0
17 72 8.0
17 13 10.0
18 21 7.0
18 17 19.0
19 40 60.0
19 70 78.0
19 77 34.0
20 30 2.0
20 18 1.0
22 70 5.0
23 65 21.0
23 24 13.0
23 64 27.0
25 54 9.0
25 20 2.0
26 57 7.0
26 25 2.0
29 31 8.0
29 26 9.0
34 56 65.0
34 66 25.0
34 44 34.0
34 29 24.0
35 36 5.0
37 67 7.0
67 70 63.0
38 41 8.0
38 34 64.0
42 74 37.0
42 43 70.0
42 45 53.0
42 49 16.0
42 38 43.0
46 67 77.0
47 58 12.0
47 51 23.0
47 75 48.0
47 42 80.0
53 55 14.0
53 60 61.0
53 77 6.0
61 78 14.0
61 47 46.0
62 67 86.0
79 61 24.0
