[63, 14, 39]
0 66 17.0
1 17 1.0
1 19 31.0
1 0 30.0
2 77 11.0
2 76 5.0
2 1 35.0
3 46 14.0
3 25 35.0
3 2 35.0
4 58 18.0
4 3 7.0
5 69 9.0
5 4 13.0
6 73 19.0
6 5 7.0
7 9 20.0
7 15 34.0
9 58 36.0
8 46 28.0
10 16 18.0
10 6 4.0
16 78 16.0
11 52 18.0
11 10 10.0
12 23 29.0
12 31 33.0
12 11 31.0
13 22 5.0
13 12 46.0
14 51 64.0
14 75 8.0
14 43 86.0
14 27 54.0
14 13 91.0
51 54 9.0
18 53 4.0
18 14 94.0
20 36 16.0
20 18 9.0
36 37 2.0
21 23 16.0
24 60 29.0
24 26 16.0
26 32 36.0
32 33 12.0
28 74 8.0
28 29 26.0
28 20 32.0
30 68 32.0
30 77 36.0
33 78 55.0
34 59 12.0
34 28 36.0
35 71 10.0
35 34 7.0
38 39 23.0
38 35 16.0
39 63 49.0
39 44 53.0
39 40 45.0
63 64 84.0
63 70 11.0
63 65 80.0
40 44 22.0
41 42 28.0
41 38 12.0
45 55 9.0
45 79 24.0
45 41 28.0
47 48 9.0
47 45 16.0
49 50 9.0
49 47 15.0
56 57 26.0
56 60 38.0
61 62 9.0
61 49 9.0
65 67 10.0
72 61 7.0
