[73, 15, 7]
0 32 39.0
1 46 9.0
1 0 5.0
2 75 3.0
2 1 1.0
3 53 62.0
3 2 1.0
53 54 56.0
53 61 37.0
4 27 5.0
4 3 4.0
5 64 11.0
5 4 16.0
6 30 1.0
6 5 17.0
7 60 78.0
7 66 3.0
7 8 58.0
7 50 87.0
7 6 17.0
8 55 23.0
9 76 20.0
9 20 36.0
9 7 21.0
10 69 5.0
10 9 21.0
11 77 29.0
11 10 9.0
12 51 22.0
51 52 22.0
13 21 5.0
13 45 3.0
13 11 20.0
14 15 9.0
14 35 15.0
14 13 26.0
15 16 61.0
15 59 82.0
15 78 92.0
17 79 48.0
17 43 20.0
17 14 19.0
43 58 40.0
18 34 5.0
18 17 1.0
19 39 22.0
19 18 12.0
39 40 15.0
22 23 17.0
22 19 8.0
24 65 2.0
24 22 5.0
25 34 21.0
26 56 2.0
26 24 16.0
28 29 8.0
28 26 3.0
31 57 13.0
31 32 34.0
33 36 12.0
33 28 8.0
37 68 15.0
37 52 35.0
38 48 42.0
38 33 15.0
48 74 53.0
40 47 7.0
41 42 9.0
41 38 13.0
44 47 16.0
49 62 13.0
49 41 8.0
61 67 23.0
63 67 20.0
63 68 33.0
70 71 19.0
70 72 29.0
70 49 6.0
73 74 47.0
