[40, 9, 6]
0 39 13.0
1 42 37.0
1 59 39.0
1 0 2.0
2 8 15.0
2 1 37.0
3 27 1.0
3 2 15.0
4 76 1.0
4 3 2.0
5 13 5.0
5 4 9.0
6 61 72.0
6 63 100.0
6 28 8.0
6 16 84.0
6 5 53.0
61 73 62.0
7 23 19.0
7 9 89.0
7 6 92.0
9 51 30.0
9 10 81.0
9 40 9.0
10 58 11.0
10 11 69.0
40 68 9.0
40 44 49.0
11 50 58.0
12 69 42.0
12 7 31.0
14 29 12.0
14 16 12.0
15 17 1.0
15 12 3.0
18 19 18.0
18 43 59.0
18 15 5.0
20 40 44.0
21 70 7.0
21 18 40.0
22 46 4.0
22 21 7.0
24 25 1.0
24 22 1.0
26 30 26.0
26 24 12.0
31 32 5.0
31 26 11.0
33 34 1.0
33 31 3.0
35 43 18.0
35 36 13.0
37 67 7.0
37 33 5.0
38 48 18.0
38 37 19.0
41 45 4.0
41 38 18.0
47 48 27.0
47 52 45.0
49 66 25.0
49 41 5.0
53 78 8.0
53 49 20.0
54 69 17.0
55 56 14.0
55 53 6.0
57 58 40.0
60 61 16.0
62 64 29.0
62 71 24.0
62 55 1.0
65 72 43.0
65 74 39.0
65 62 15.0
72 75 33.0
77 78 16.0
79 65 38.0
