[73, 50, 38]
0 56 53.0
0 57 37.0
1 48 2.0
1 66 7.0
1 0 16.0
2 43 18.0
2 38 85.0
2 1 42.0
38 39 10.0
38 41 5.0
38 47 57.0
3 45 26.0
3 2 28.0
4 74 19.0
4 3 27.0
5 42 9.0
5 23 45.0
5 4 19.0
6 71 1.0
6 5 33.0
7 54 5.0
7 6 5.0
8 17 17.0
8 7 1.0
9 11 1.0
9 8 14.0
10 12 6.0
10 9 14.0
13 70 18.0
13 10 16.0
14 24 5.0
14 13 1.0
15 16 16.0
15 14 2.0
18 29 41.0
18 15 4.0
19 48 1.0
20 22 36.0
20 18 3.0
22 65 5.0
21 59 1.0
21 20 9.0
25 26 8.0
25 21 5.0
27 44 1.0
27 25 2.0
28 29 3.0
30 31 24.0
30 40 12.0
30 27 8.0
32 33 2.0
32 30 20.0
34 43 12.0
35 46 31.0
35 64 69.0
35 36 28.0
35 32 46.0
64 67 10.0
36 37 12.0
41 47 4.0
49 50 39.0
49 51 21.0
49 52 40.0
49 35 54.0
50 58 58.0
50 76 90.0
50 53 16.0
58 78 52.0
55 58 3.0
60 61 15.0
60 49 28.0
62 75 7.0
62 60 8.0
63 77 9.0
63 62 2.0
68 69 14.0
68 63 10.0
72 73 75.0
72 79 34.0
72 68 14.0
73 79 31.0
