[52, 56, 48]
0 7 4.0
1 2 4.0
1 40 28.0
1 0 22.0
3 9 34.0
3 63 7.0
3 1 12.0
4 51 5.0
4 3 7.0
5 53 11.0
5 4 14.0
6 69 4.0
6 5 3.0
8 61 14.0
61 69 17.0
10 35 3.0
10 28 27.0
10 6 24.0
11 23 13.0
11 10 19.0
12 13 6.0
12 11 5.0
14 15 23.0
14 12 1.0
15 25 36.0
16 17 4.0
16 14 9.0
18 19 5.0
18 33 19.0
18 16 22.0
20 23 49.0
21 34 18.0
22 41 10.0
22 18 20.0
24 25 7.0
26 43 33.0
26 78 4.0
26 22 34.0
27 76 27.0
27 26 24.0
29 62 36.0
29 60 27.0
29 27 36.0
62 75 60.0
62 66 59.0
30 58 33.0
31 32 19.0
31 34 1.0
32 64 69.0
32 35 67.0
36 67 7.0
36 73 2.0
36 29 21.0
67 68 43.0
37 38 27.0
37 36 31.0
39 42 10.0
39 59 2.0
39 37 6.0
44 45 70.0
44 74 35.0
44 46 27.0
44 39 72.0
46 47 24.0
46 48 71.0
48 49 97.0
48 50 75.0
48 52 64.0
49 52 3.0
52 65 85.0
52 77 41.0
54 55 35.0
54 56 61.0
54 75 69.0
55 66 68.0
55 56 70.0
56 57 90.0
56 58 84.0
68 70 25.0
71 72 9.0
71 44 63.0
79 71 25.0
