[47, 58, 31]
0 6 12.0
1 19 3.0
1 0 2.0
2 72 8.0
2 1 8.0
3 21 7.0
3 2 4.0
4 31 82.0
4 3 8.0
31 42 69.0
31 75 92.0
31 50 74.0
5 70 1.0
5 4 3.0
7 71 4.0
7 5 2.0
8 61 1.0
8 7 13.0
9 28 5.0
9 8 3.0
28 55 12.0
10 32 2.0
10 9 1.0
11 12 3.0
11 10 4.0
13 78 13.0
13 11 8.0
14 48 13.0
14 13 10.0
15 29 4.0
15 14 4.0
16 17 24.0
16 15 3.0
17 18 41.0
20 51 3.0
20 27 22.0
20 16 24.0
22 62 1.0
22 20 23.0
23 24 5.0
23 22 2.0
25 26 3.0
25 23 1.0
30 49 6.0
30 25 3.0
33 42 49.0
34 35 5.0
34 30 1.0
36 37 5.0
36 34 3.0
38 39 30.0
38 36 8.0
39 44 5.0
44 45 16.0
40 41 75.0
41 43 67.0
41 44 49.0
46 58 72.0
46 38 4.0
58 64 4.0
58 65 75.0
47 71 57.0
47 52 91.0
47 59 30.0
47 53 68.0
53 63 22.0
54 56 1.0
54 46 9.0
57 58 47.0
57 60 48.0
66 76 8.0
66 54 2.0
67 68 1.0
67 66 2.0
69 73 3.0
69 67 2.0
74 77 30.0
74 79 43.0
74 69 52.0
