[70, 42, 74]
0 70 97.0
70 71 46.0
70 72 47.0
1 50 6.0
1 0 1.0
2 14 14.0
2 1 5.0
3 16 11.0
3 2 19.0
16 17 17.0
4 6 1.0
4 3 3.0
5 55 9.0
5 4 7.0
7 34 4.0
7 11 26.0
7 5 21.0
8 18 2.0
8 7 15.0
9 62 19.0
9 8 18.0
10 23 16.0
10 9 26.0
12 13 61.0
13 35 13.0
13 14 66.0
15 73 6.0
15 10 4.0
17 19 19.0
20 21 30.0
20 15 9.0
21 78 32.0
22 74 77.0
74 75 60.0
74 76 100.0
24 69 21.0
24 20 18.0
25 26 4.0
25 24 3.0
27 51 39.0
27 25 1.0
28 29 24.0
28 27 2.0
30 31 8.0
30 28 13.0
32 36 1.0
32 30 9.0
33 65 7.0
33 32 4.0
37 38 12.0
37 33 22.0
39 40 15.0
39 37 6.0
41 70 47.0
42 68 74.0
42 61 73.0
42 43 3.0
42 44 91.0
42 39 40.0
61 63 59.0
45 46 1.0
45 42 14.0
47 48 8.0
47 45 1.0
49 51 7.0
52 56 3.0
52 47 1.0
53 54 14.0
54 57 34.0
57 58 5.0
58 59 21.0
58 60 41.0
59 61 45.0
64 66 1.0
64 52 1.0
67 68 36.0
72 74 57.0
77 78 24.0
77 79 25.0
