[1, 70, 4]
0 11 33.0
11 42 26.0
1 58 25.0
1 30 98.0
1 63 2.0
1 67 91.0
1 0 1.0
2 65 10.0
2 1 36.0
3 4 7.0
3 2 7.0
4 72 42.0
4 66 78.0
4 68 67.0
5 70 3.0
5 44 2.0
5 3 45.0
70 71 92.0
70 75 1.0
70 78 26.0
6 55 3.0
6 5 3.0
7 8 10.0
7 20 55.0
7 6 16.0
20 21 36.0
20 31 43.0
9 37 4.0
9 7 3.0
10 53 25.0
10 49 26.0
42 45 16.0
12 36 35.0
12 69 19.0
13 35 30.0
35 41 71.0
14 37 40.0
15 76 13.0
15 48 68.0
15 25 19.0
15 9 63.0
16 73 25.0
17 46 6.0
17 15 20.0
18 19 10.0
18 17 25.0
21 32 4.0
21 56 51.0
32 40 49.0
32 73 63.0
22 38 57.0
22 23 30.0
22 75 64.0
23 39 6.0
24 26 36.0
26 27 14.0
26 60 2.0
27 28 50.0
27 53 19.0
28 39 34.0
29 77 51.0
29 62 12.0
33 74 3.0
33 18 18.0
34 59 4.0
34 35 25.0
59 61 32.0
43 47 16.0
43 33 17.0
50 51 4.0
50 43 2.0
52 77 21.0
52 69 12.0
54 55 8.0
54 57 32.0
57 59 31.0
61 64 9.0
64 69 60.0
71 78 78.0
71 79 70.0
