[51, 78, 36]
0 67 33.0
0 64 20.0
1 42 1.0
1 0 13.0
2 74 1.0
2 1 3.0
3 50 7.0
3 2 28.0
4 56 15.0
4 3 29.0
5 75 12.0
5 4 14.0
6 7 18.0
6 49 49.0
6 5 8.0
8 27 10.0
8 6 47.0
9 31 24.0
9 8 19.0
10 20 36.0
10 9 25.0
20 41 2.0
11 66 58.0
11 10 28.0
12 22 44.0
12 13 19.0
12 11 14.0
14 15 40.0
14 12 29.0
15 57 21.0
16 17 2.0
16 14 19.0
18 19 10.0
18 16 4.0
21 23 35.0
21 70 13.0
21 18 30.0
24 25 7.0
24 21 17.0
26 39 13.0
26 24 16.0
28 29 1.0
28 30 41.0
28 26 57.0
32 47 7.0
32 28 27.0
47 48 31.0
33 72 33.0
33 32 13.0
34 35 17.0
34 33 16.0
36 37 29.0
36 58 65.0
36 38 60.0
36 68 98.0
36 34 74.0
40 42 10.0
43 72 21.0
44 45 1.0
44 36 96.0
46 76 17.0
46 44 1.0
51 69 14.0
51 52 4.0
51 53 33.0
51 71 14.0
51 46 65.0
53 73 60.0
54 55 2.0
54 59 32.0
54 51 58.0
60 66 4.0
61 77 5.0
61 54 20.0
62 63 19.0
62 65 40.0
65 66 47.0
78 79 8.0
78 61 16.0
