[32, 42, 56]
0 50 17.0
1 31 1.0
1 0 15.0
2 64 64.0
2 12 69.0
2 56 100.0
2 1 45.0
56 57 22.0
56 58 86.0
56 73 7.0
3 32 91.0
3 2 6.0
32 43 75.0
32 33 91.0
4 74 3.0
4 3 2.0
5 52 13.0
5 4 6.0
6 72 3.0
6 5 10.0
7 24 31.0
7 25 52.0
25 77 56.0
8 49 1.0
8 6 4.0
9 29 1.0
9 8 1.0
10 44 10.0
10 9 3.0
11 33 79.0
13 16 1.0
13 10 1.0
14 37 1.0
14 13 18.0
15 71 40.0
15 17 16.0
15 14 34.0
18 30 3.0
18 15 11.0
19 20 1.0
19 18 17.0
21 24 29.0
22 28 3.0
22 19 6.0
23 25 66.0
23 73 18.0
23 66 33.0
77 79 14.0
26 27 3.0
27 32 22.0
27 33 7.0
34 35 39.0
34 22 4.0
35 36 25.0
36 38 36.0
36 53 24.0
39 40 1.0
39 34 1.0
41 42 99.0
41 39 20.0
42 45 48.0
42 46 31.0
42 47 85.0
48 50 9.0
51 53 13.0
54 55 14.0
54 41 28.0
59 60 40.0
59 61 12.0
59 54 27.0
62 63 4.0
62 59 25.0
65 67 47.0
65 68 13.0
65 62 19.0
68 69 49.0
70 75 29.0
70 65 1.0
76 77 31.0
76 78 36.0
